experiment,owner,task,judge,status,started_at,finished_at,language,model,tooling,prompt,effort,agent,stack,replicate,code_quality,test_coverage,defect_rate,maintainability,idiomatic,token_efficiency,requirement_coverage,factual_accuracy,runtime,duration_seconds,tokens,cost_usd,turns,max_context_tokens,second_try,agent_steps
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:41:30.842706,2026-06-13 21:41:30.842711,python,openrouter/tencent/hy3-preview,none,,,omp,,1,0.6666666666666666,0.96,0.9520383693045563,0.9123165347595524,,0.010638869485787976,,,,172.8868134580007,744440.0,0.023485581,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:41:56.043750,2026-06-13 21:41:56.043754,rust,openrouter/tencent/hy3-preview,none,,,omp,,2,0.8333333333333334,1.0,1.0,0.5027813902437047,,0.04920127470245065,,,,550.7141807500011,3143008.0,0.08094945599999999,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:43:42.479160,2026-06-13 21:43:42.479162,python,openrouter/z-ai/glm-5.1,none,,,omp,,3,0.6666666666666666,0.94,0.6774193548387097,0.968775010008008,,0.004567046501065226,,,,118.97890154199922,797014.0,0.16520932400000002,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:44:36.615017,2026-06-13 21:44:36.615019,java,openrouter/tencent/hy3-preview,none,,,omp,,1,1.0,1.0,1.0,0.961414519755298,,0.0037335665777995064,,,,379.2072937080011,2094512.0,0.060531723,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:45:00.000559,2026-06-13 21:45:00.000562,go,openrouter/z-ai/glm-5.1,none,,,omp,,3,1.0,0.675,1.0,0.8836626702746556,,0.009702607668393015,,,,181.34524891599904,1080122.0,0.24725873199999998,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:45:23.072933,2026-06-13 21:45:23.072937,java,openrouter/z-ai/glm-5.1,none,,,omp,,3,1.0,1.0,1.0,0.967772510009138,,0.0029825428041494626,,,,220.30478125000081,1716656.0,0.368281732,,,,
retort/experiment-15,retort,unknown,,failed,2026-06-13 21:46:14.918857,2026-06-13 21:46:14.918860,python,openrouter/z-ai/glm-5.1,none,,,omp,,2,0.0,0.0,0.0,0.0,,0.0,,,,89.64214208299927,535821.0,0.11585884799999997,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:47:03.940357,2026-06-13 21:47:03.940361,rust,openrouter/z-ai/glm-5.1,none,,,omp,,3,0.8333333333333334,1.0,0.9539170506912442,0.5075219089446671,,0.25764807615053076,,,,121.73505512500014,293734.0,0.071865752,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:48:45.089863,2026-06-13 21:48:45.089866,typescript,openrouter/z-ai/glm-5.1,none,,,omp,,2,0.7333333333333334,0.9647,1.0,0.9004382577419235,,1.0,,,,133.60952674999862,506326.0,0.11369934799999999,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:50:54.473949,2026-06-13 21:50:54.473953,python,openrouter/tencent/hy3-preview,none,,,omp,,3,0.6222222222222222,0.95,0.9395770392749244,1.0,,0.00910488657544601,,,,216.02737483300007,698526.0,0.024292085999999997,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:51:07.897834,2026-06-13 21:51:07.897838,rust,openrouter/tencent/hy3-preview,none,,,omp,,3,0.8333333333333334,1.0,1.0,0.5791208791208792,,0.09833980925468033,,,,343.22856125,1557050.0,0.044219154,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:51:45.295935,2026-06-13 21:51:45.295937,go,openrouter/tencent/hy3-preview,none,,,omp,,3,1.0,0.606,1.0,0.8117960480456956,,0.004927049465174967,,,,479.5382929590014,2748095.0,0.07358366400000001,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:52:01.142381,2026-06-13 21:52:01.142383,python,openrouter/tencent/hy3-preview,none,,,omp,,2,0.6666666666666666,0.94,0.9049881235154394,0.8975454061571302,,0.01000895218174508,,,,186.16099050000048,823263.0,0.026288682,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:55:31.413588,2026-06-13 21:55:31.413591,typescript,openrouter/tencent/hy3-preview,none,,,omp,,3,0.7333333333333334,0.7659999999999999,1.0,0.4875549895940276,,1.0,,,,273.2023333749985,1402527.0,0.03928747199999999,,,,
